20 20 24 
W 19 19 9 
W 5 2 9 
W 4 11 9 
W 7 10 9 
W 15 10 9 
W 16 15 9 
W 0 14 9 
W 19 13 9 
W 0 18 9 
W 16 19 9 
W 19 19 9 
W 0 13 9 
W 5 6 9 
W 19 17 9 
W 2 11 9 
W 9 8 9 
W 18 19 9 
W 17 19 9 
W 2 13 9 
W 11 7 9 
W 15 19 9 
W 7 14 9 
W 18 18 9 
W 17 18 9 
W 17 16 9 
W 8 8 9 
W 2 10 9 
W 2 9 9 
W 10 4 9 
W 1 14 9 
W 19 18 9 
W 1 11 9 
W 19 16 9 
W 3 8 9 
W 19 18 9 
W 1 12 9 
W 17 17 9 
W 19 18 9 
W 1 12 9 
W 0 15 9 
W 15 17 9 
W 18 16 9 
W 17 18 9 
W 2 12 9 
W 0 8 9 
W 18 16 9 
W 0 13 9 
W 16 17 9 
W 4 10 9 
W 18 14 9 
W 1 12 9 
W 10 19 9 
W 16 16 9 
W 3 10 9 
W 0 15 9 
W 18 15 9 
W 0 12 9 
W 0 11 9 
W 1 18 9 
W 16 18 9 
W 1 13 9 
W 0 12 9 
W 4 6 9 
W 4 7 9 
W 15 13 9 
W 6 6 9 
W 1 12 9 
W 1 12 9 
W 15 18 9 
W 1 9 9 
W 0 13 9 
W 0 10 9 
W 19 15 9 
W 0 9 9 
W 0 13 9 
W 18 19 9 
W 0 11 9 
W 3 17 9 
W 13 18 9 
W 1 13 9 
W 1 6 9 
W 18 13 9 
W 0 11 9 
W 11 14 9 
W 2 10 9 
W 0 12 9 
W 3 12 9 
W 6 8 9 
W 16 14 9 
W 1 10 9 
W 1 12 9 
W 13 18 9 
W 3 10 9 
W 0 10 9 
W 0 11 9 
W 2 5 9 
W 0 11 9 
W 0 16 9 
W 14 17 9 
W 1 11 9 
W 18 15 9 
W 0 11 9 
W 12 16 9 
W 18 18 9 
W 3 9 9 
W 1 17 9 
W 0 12 9 
W 0 11 9 
W 0 11 9 
W 13 19 9 
W 1 7 9 
W 0 9 9 
W 2 6 9 
W 1 16 9 
W 14 17 9 
W 0 12 9 
W 18 12 9 
W 4 10 9 
W 4 8 9 
W 16 15 9 
W 19 12 9 
W 1 18 9 
W 5 7 9 
W 1 10 9 
W 1 11 9 
W 1 10 9 
W 3 5 9 
W 0 10 9 
W 0 11 9 
W 1 3 9 
W 0 11 9 
W 1 11 9 
W 0 7 9 
W 6 11 9 
W 17 14 9 
W 0 11 9 
W 18 19 9 
W 3 10 9 
W 3 7 9 
W 0 11 9 
W 0 11 9 
W 1 8 9 
W 17 19 9 
W 15 14 9 
W 2 7 9 
W 17 13 9 
W 13 14 9 
W 1 9 9 
W 2 11 9 
W 3 8 9 
W 14 14 9 
W 0 11 9 
W 0 11 9 
W 2 9 9 
W 0 10 9 
W 2 10 9 
W 14 17 9 
W 1 14 9 
W 16 12 9 
W 3 10 9 
W 0 19 9 
W 4 5 9 
W 1 10 9 
W 17 19 9 
W 1 9 9 
W 1 8 9 
W 5 4 9 
W 0 10 9 
W 3 7 9 
W 1 5 9 
W 0 11 9 
W 0 11 9 
W 1 11 9 
W 3 11 9 
W 0 11 9 
W 14 18 9 
W 2 9 9 
W 0 10 9 
W 15 16 9 
W 0 12 9 
W 3 6 9 
W 5 8 9 
W 0 11 9 
W 0 11 9 
W 14 17 9 
W 0 8 9 
W 0 17 9 
W 14 15 9 
W 0 12 9 
W 18 11 9 
W 1 11 9 
W 2 11 9 
W 0 11 9 
W 0 11 9 
W 2 11 9 
W 1 6 9 
W 0 15 9 
W 14 16 9 
W 0 12 9 
W 18 17 9 
W 2 10 9 
W 12 19 9 
W 0 8 9 
W 1 4 9 
W 9 14 9 
W 17 8 9 
W 5 8 9 
W 18 10 9 
W 1 19 9 
W 7 7 9 
W 0 9 9 
W 0 10 9 
W 0 9 9 
W 2 6 9 
W 0 10 9 
W 1 5 9 
W 4 9 9 
W 17 13 9 
W 17 19 9 
W 2 6 9 
W 2 8 9 
W 16 19 9 
W 1 6 9 
W 16 13 9 
W 2 9 9 
W 1 10 9 
W 2 7 9 
W 1 10 9 
W 1 9 9 
W 16 10 9 
W 3 4 9 
W 3 10 9 
W 7 12 9 
W 13 13 9 
W 7 4 9 
W 1 10 9 
W 14 19 9 
W 2 2 9 
W 17 15 9 
W 1 9 9 
W 1 8 9 
W 5 1 9 
W 0 10 9 
W 2 9 9 
W 3 9 9 
W 2 9 9 
W 4 4 9 
W 3 6 9 
W 15 11 9 
W 7 2 9 
W 0 10 9 
W 1 7 9 
W 1 9 9 
W 0 9 9 
W 2 9 9 
W 3 3 9 
W 0 10 9 
W 13 17 9 
W 2 10 9 
W 2 19 9 
W 0 8 9 
W 1 7 9 
W 3 9 9 
W 3 7 9 
W 1 19 9 
W 6 7 9 
W 0 9 9 
W 0 10 9 
W 0 9 9 
W 3 5 9 
W 0 10 9 
W 5 10 9 
W 2 9 9 
W 2 6 9 
W 0 9 9 
W 13 16 9 
W 1 8 9 
W 17 12 9 
W 0 8 9 
W 1 10 9 
W 2 7 9 
W 14 17 9 
W 1 8 9 
W 1 9 9 
W 15 16 9 
W 2 9 9 
W 3 6 9 
W 0 9 9 
W 0 10 9 
W 0 7 9 
W 3 8 9 
W 0 12 9 
W 0 10 9 
W 2 10 9 
W 1 8 9 
W 2 7 9 
W 3 7 9 
W 13 15 9 
W 15 12 9 
W 0 10 9 
W 1 10 9 
W 1 10 9 
W 0 7 9 
W 1 15 9 
W 1 9 9 
W 3 10 9 
W 17 11 9 
W 4 18 9 
W 6 9 9 
W 1 7 9 
W 3 10 9 
W 1 7 9 
W 1 9 9 
W 0 6 9 
W 1 10 9 
W 0 9 9 
W 1 8 9 
W 0 9 9 
W 0 8 9 
W 16 11 9 
W 2 4 9 
W 3 10 9 
W 6 5 9 
W 1 10 9 
W 12 8 9 
W 1 9 9 
W 1 10 9 
W 0 10 9 
W 2 9 9 
W 2 3 9 
W 3 9 9 
W 2 9 9 
W 3 6 9 
W 3 8 9 
W 14 13 9 
W 6 4 9 
W 0 8 9 
W 0 5 9 
W 1 9 9 
W 0 9 9 
W 12 18 9 
W 2 9 9 
W 1 6 9 
W 0 10 9 
W 2 10 9 
W 0 8 9 
W 0 3 9 
W 3 9 9 
W 3 7 9 
W 15 15 9 
W 2 18 9 
W 5 9 9 
W 0 9 9 
W 0 10 9 
W 0 9 9 
W 2 6 9 
W 1 1 9 
W 0 10 9 
W 4 9 9 
W 2 9 9 
W 2 8 9 
C 9 3 11 
Y 12 1 5 0 False 0 0 
T 15 9 0 
G 10 6 0 
M 1 13 0 
J 4 8 99 
G 11 6 0 
M 2 14 0 
M 0 13 0 
M 2 15 0 
M 1 12 0 
M 0 12 0 
M 3 14 0 
T 14 9 0 
M 3 13 0 
M 4 13 0 
J 4 9 99 
M 0 11 0 
M 3 15 0 
M 4 14 0 
M 1 15 0 
M 4 12 0 
M 3 12 0 
M 1 10 0 
M 0 10 0 
M 2 15 0 
M 5 12 0 
M 4 16 0 
M 2 14 0 
M 3 16 0 
M 5 11 0 
G 10 5 0 
M 4 15 0 
M 3 11 0 
M 2 17 0 
M 5 14 0 
G 11 5 0 
M 3 13 0 
M 0 16 0 
